ID＆nbsp; Tweet＆nbsp; ディメンションに影響する＆nbsp; 強度クラス
2017-JA-20968＆nbsp; @ RockSolidShow @Pat_Francis＃あなたが私がセクシーだと思うならば、コックを元に戻す！＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21816＆nbsp; @Its_just_Huong私はあなたを打つだろう！いつもidがgryffindorだと思っていたので、これは私のためのまったく新しい世界です。#excited #afraid＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-En-21532＆nbsp; "あなたを悩ましていることは何ですか？"  -  Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-ja-20740＆nbsp; @ carlybigelow13最初にあなたは今あなたが私を打ちたい＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20022＆nbsp; @ RogueCoder250私たちは非常に苦労しています！私は、Revがプロジェクトの面白い面を見るとは思わない。#nervous＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-JA-20682＆nbsp; @MidgetTamer @RAIDERS @ 52Mack_彼を悪人にする。一人で彼を部​​屋に座らせて、一日中Deboを見させてください。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20488＆nbsp; 今日は3年がナイロビでの恐ろしいウエストゲート攻撃の記念日です。私たちの家族と恋人を失った私たちのすべての人に私の心を出してください。友人＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20937＆nbsp; @WunderlistHelpあなたはまだダウンしていますか？いつ私達は上がるこ​​とができますか？＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21760＆nbsp; @City_tvは、クラスの大いなるいじめりのようなものだが、みんなのランチを台無しにするのではなく、ランチお金を取る代わりに、家族の喧嘩を取り除いた。恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-En-20880＆nbsp; @ Jchawesあなたのお気に入りのホラー映画は何ですか？#ghosthunters＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21567＆nbsp; 成果や心配することがあるかどうかは不明です。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-22135＆nbsp; @CharlieEblackerは恥ずかしがり屋であることを嫌う＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-JA-21523＆nbsp; #smackdev #ptp #start oh oh！＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21433＆nbsp; @ Varneyco @SheriffClarke私は同意する。暴力団は財産を破壊し、市民を傷つけ、人命を脅かす。私たちは暴動に対してゼロ・トレランス・ポリシーを必要としています。＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-JA-20824＆nbsp; @DeionSandersJr @DeionSandersとても悪い...チャンピオンシップを失った後、チームギアのように価格を落とすか、難民キャンプに送る。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-22248＆nbsp; 私は今揺れている。＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-JA-21941＆nbsp; そして彼らはこれらの警察の射撃をかなりうまくカバーします。彼らはあなたをいじめるチャンスを逃したくありません。＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-JA-20976＆nbsp; "砂糖が少なく、果物が多い。\ nソーダが少なくて水が多い。\ n心配することなく、眠りを増やす。\ n言葉を練習する。恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21967＆nbsp; @ Jpennifanオハイオ州あなたの離婚に申し訳ありませんが、心配しないでください私は良い妻になるでしょう（参照なし）＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20544＆nbsp; その老婦人はクレイ・クレイです＃訓練された＃ベール・イズ・ソート・キュート＃怒り＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21731＆nbsp; 花嫁の声の父親を編集する。3分後、彼女はそれを包むように伝えます。彼はさらに12分間続きます。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20112＆nbsp; @YahooCareのデータは2014年に盗まれましたが、今はあなたに教えてください。＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-ja-21217＆nbsp; @ライアンアウェイ私はとても心配していた神に感謝します。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-20136＆nbsp; これは、すべての中で最も恐ろしいアメリカのホラーストーリーです...私は昼間に見る必要があります。＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-En-21182＆nbsp; @BuzzFeedので、この家屋は私のinstestinesに入ると私のおっぱいを恐れて、私はズボンをくそっているでしょうか？＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-En-20547＆nbsp; 深夜＃考えます。感情。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21320＆nbsp; 恐怖の脅威のレベルは本当に＆nbsp;引き上げられる必要があります。恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-En-20718＆nbsp; ＃問題がありますか？はい！それについて＃何かできますか？いいえ！理由より＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20746＆nbsp; @ davidpreece12 @FitbaHacks素晴らしいディフェンダー、ひどいポジショニング。ラッセルが彼に90分叫ぶことなくどこにすべきかを知りませんでした。恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20013＆nbsp; #panic新しい薬物療法を開始する恐れからのパニック発作＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-ja-21205＆nbsp; @stephenfhayesマスタードガス=テロリズムではなく敵対的な作業環境。＃軍用ではなく#OSHAを呼び出す＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-En-20619＆nbsp; 今日仕事から家に帰ってきた@ amityafflictionの種類#dailyfeels＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21953＆nbsp; ♪オールドフィッシュ＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20812＆nbsp; ロホは恐ろしいディフェンダーです。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-20099＆nbsp; 過去にあなたと訴訟を起こさないようにしつこかされていない人が偽の抱擁を強要されている - ＃fulful😖👺🙅＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-En-21148＆nbsp; これは#horribleです：ルイス・ダンクは、メキシコの彼の休暇の家とネオ・ジオのネットワーキングを始めました。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20548＆nbsp; @hotpatootiesもっと早く離婚するのと同じように#awful＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21773＆nbsp; #MaryBerryなしのNoooooo @ GBBOUKは、＃行く#endofanera 2b行くので、#lost @ Channel4はそこに#lameduckを買っている＃ないすべての＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-ja-21806＆nbsp; @SimplyMayaMarie @STILLStanding_B😂😂😂あなたが驚いているのは、そのショッキングなことだよ。すべてが＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20802＆nbsp; クロスワードパズルは、栄養価の高い根本的な根本的な失敗を払拭するための、麦の食事です。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-21829＆nbsp; @priorJoan @MizQue \ n実際にトランプの支持者の典型的な\ nこの子供は学校でバーリシズムを学んだ\ nそれは恐ろしい＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-ja-21826＆nbsp; @CGasparinoガスを放りなさい、私はあなたを嫌っていない、私はちょうど無礼を尊重しない。#bully＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21671＆nbsp; @ 60DaysInJail Dafronは、地球上で最大の敗者に手を差し伸べている！典型的な#bully #lifer＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21073＆nbsp; @CurtisJoblingはい、確かに！私たちは、大勢の学生があなたを見てとても興奮していることを知っています！私たちはこれをソートする必要があります！#haunt＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-21902＆nbsp; 他の誰かがPoundstretcherと悪い経験をしていますか？#nightmare firm＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-JA-20023＆nbsp; 私の不安攻撃中に私に話すような唯一の人は、泣いているキャサリンです。恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-JA-21785＆nbsp; @HMiglino @ CParks777 @Coco_Wms @ bodyfit67 @TruthEqualsFact @politicususa私は決して私の人生で選挙を心配していませんでした！️＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-JA-20377＆nbsp; 私は本当に恐怖の夜に行きたいですが、私は実際にはしません。＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-En-20594＆nbsp; #GADOT WilliamsとIvan Allen Jr Blvdに左折信号を入力してください。これは絶対にばかげたことです。#ATLトラフィック#horrible＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21873＆nbsp; 酔っ払ったワインは自分自身の最悪のバージョンですが、バスハンターを覚えていなくても＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-21907＆nbsp; #lifeが長くなるにつれて、＃あまりにも気分が悪くなります。#modestmouse @modestmouseband＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20118＆nbsp; 私の夢の中で....彼らは私の腎臓を盗もうとしていた！#blackmarket #whydidiwatch＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-ja-21551＆nbsp; ＃何かを心配しないでください。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21570＆nbsp; #Successはあなたの#fear＆amp; amp; それはあなたの＃頭にしかありません -  JesusChristEmpowersRightThinking-ASK #fitness＃weightlifting＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20310＆nbsp; まだ譲歩していませんでしたが、背中に悪夢がありました。#MUFC＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-ja-20075＆nbsp; 私のルームメイトは話すと笑う。それは私のことを恐れることは決してありません。🙅🏽😳＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-JA-22154＆nbsp; 誰もがテロリズムを止めることを心配しています。まあ、本当に簡単な方法があります：それに参加することをやめてください。 - ノアム・チョムスキー＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-JA-21226＆nbsp; @ChrissyCostanzaと社会的不安があります。私には間違ったことがたくさんあります。😄＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-JA-21853＆nbsp; @sethwieckあなたは 'bubledygook'のTED Talkをやるべきです！私は大衆にTED交渉を不信にさせるよう説得することができると確信しています！＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21641＆nbsp; @MobilePunch警報＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20373＆nbsp; 佐賀：あなたのすべてのデバイスと電話が、＃gbboを焼くためにちょうど間に合わなかったとき、＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-En-21159＆nbsp; @fatgirlhealthy @ MBSCBILL ....それでは、政治的議題のために暴力と脅迫をどうするのか。別名テロリズム？＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-JA-21721＆nbsp; @jk_rowling @ Riverfeather207ホワイトハウスのドナルドトランプ＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21739＆nbsp; @FaithHill私はよくそれを覚えている＃幸せ#Positive＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21918＆nbsp; 私はいつも水曜日のことを恐れ、いつも私は幸せな気分にさせてくれます。恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20319＆nbsp; しかし、代理人は本物ではなく、私の妹はまだ私を愛しています。私はまだ生きている。だから私はそれが悪くないと思う。#socialanxiety #anxiety＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-ja-20886＆nbsp; 先生、私の懸念は、神が私たちの側にいるのかどうかということではありません。私の最大の懸念は神の側にあることです。神はいつも正しいからです。 - アブラハムリンカーン＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21345＆nbsp; 火災警報は私の調理スタイルに賛成できないようです。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-20887＆nbsp; Hahahahバイエルからの恐ろしいペナルティ。5フィート幅。イエス＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-20732＆nbsp; 私たちは#steamworksネットワークに基づいて＃unity3dのためのネットワークマネージャ全体をコーディングすることに非常に忙しかったです。#gamedev #indiedev＃3amDeadTime #horror #game＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20049＆nbsp; ホワイトアメリカ人はアラブのテロリストを心配している。ブラックアメリカ人は、毎日警察の制服でテロリストを恐れている。＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-En-22013＆nbsp; @yellowsuburbia本当に​​?? それほど長い間それは衝撃的です。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20212＆nbsp; @Montel_Williamsこの禁止が通過すれば、非常に多くの人々、障害のある退役軍人、#chronicpain、#iamkratom＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-ja-20073＆nbsp; @BBCPolitics @BBCNews私は子供に@BorisJohnson #shudderを残したいと思っています。恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-JA-21377＆nbsp; 私のクライアントの大半は、家族/パートナー/日の仕事/生活を持ち、美しい本を書いています。#gratitude＃ハードウェア＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-22000＆nbsp; 振戦!!! \ n＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-JA-20142＆nbsp; Lysolはスプレーポジションに詰まっている可能性があり、私たちはすべてFebreeze工場のようなにおいがするゴミ箱からゆっくりと窒息しています。#panic＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-JA-21770＆nbsp; @TweetinderKaul @rupasubramanya @chandanwriter @TheQuint @ ShivAroorの将来は、TRPが恐怖を抱えている場所で急いで#HomilyHour＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20876＆nbsp; 残業... #TeamNA＃WCH2016＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21457＆nbsp; あなたは心配しているか心配していますか？\ n1ペーター5：7 \ n彼があなたを気にしているので、心配してください。#faith #leadership #mindfulness #success＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20492＆nbsp; 恐怖ピット＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-20090＆nbsp; 血まみれの地獄パム、落ち着いて。しかし、ブラック＆amp; 髪の毛がカーペットを横切って走っていた、＃perilsoflivingalone＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-ja-21929＆nbsp; 私は誰でも@CapitalOneの使用を妨げることを私の人生の使命とするつもりです。彼らはあなたを盲目にするでしょう。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20330＆nbsp; 私たちは皆、何かのためにDT（Discipleship training or detox）に入っています。#messy #fearful #cutoff＃自由に選択＃CryOut16＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-JA-21946＆nbsp; こんにちは@ Gmailなぜ私は15送信された電子メールを見ることができますか？何千人もなくなった？＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20650＆nbsp; @aidankerrpol私はあなたがすべきだと思います。ファッション警察に関わってください。#shocking＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20607＆nbsp; 私は金持ちだったので、今朝起きてはいけませんでした。貧弱な＃あんまり＃不在の#sad #needsmoresleep＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21193＆nbsp; 今日は1.5時間遅れて働きました。私が聞いた第1の事：「奥様、大佐があなたのオフィスであなたを待っていました。#panic #hateBeingLate😩😪＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-JA-22146＆nbsp; @ S_Moore24うわー、それはすばらしい＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21780＆nbsp; @CornflakeDaddy @youngvulgarianええ、それは恐ろしいsoooだった、私は＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-JA-21778＆nbsp; ナリーが死んだとき、お母さんは覚えていますか？あなたは赤ちゃんのように泣いた！#bully＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20651＆nbsp; @OC_Transpo何週間か問題はありませんが、今週は信じがたいです - 普通の12バスを走っていますか？#awful #solate＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20866＆nbsp; リーダーシップの最も重要な特徴は、＃恐れがないことです。#activism #equity #revolution＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21189＆nbsp; @SAHARTHERAPPER私は躊躇なく＆unfollowed＆lt; 3＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21564＆nbsp; @ Red9Nick @Audi_Nutz @ NickBuck08 @ Thompson2Neil @Insaniti_LFC @ knoller2 @KemlynRoadStand @godisared彼らの偉大な人々を恥じないでください。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21296＆nbsp; いくつかの絶望のための時間＃SDR3 #fuckthisanime＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-ja-21815＆nbsp; #travelfail #virgin #virginausと#etihad＃nightmare ...そして今も遅れている。#obvs🙄😠＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21097＆nbsp; フライドポテトを振る＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20823＆nbsp; 私は本当にメルとスーが嫌いです。彼らは彼らが陽気で、彼らはひどいと思う。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20569＆nbsp; @_jamiebraidwood笑、恐ろしいことはすべて言われる必要があります。私は土曜日にスペインに行くことができてうれしいので、ゲームを失ってしまった🍹🍕🍺☉☉＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
