ID	Tweet	차원에 영향을	강도 클래스
2017-JA-10264	@ xandraaa5 @ amayaallyn6 종료 해시 태그는 차가운군요.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10072	그 날 예수 화나게. 아무도 hajime 좋아하는 사람은 빨대 맨 lmao	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11383	로루아다무자부루과 거짓 분노 ...	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-11102	@THATSSHAWTYLO는 ATL의 스트립 클럽을 떠날에서 이른 아침에 일찍 심하게 심한 스타일의 자동차 사고로 사망했다. 그것은 대략적인 것입니다.	분노	0 : 분노는 추정 할 수없는
2017-ja-11506	@ Kristiann1125 笑うわ 정말 말을하려고했다? 당신은 크리스 또는 토너를 본 적이 있나요? 당신은 더 이상 나를 껴안고 없습니다!	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-10779	나는 🍱 초밥 날짜 @ AnzalduaG🍝 올리브 가드 날짜 @ 레키시에리데 369과 👊🏼Rockys 날짜 🍕이 필요합니다.	분노	0 : 분노는 추정 할 수없는
2017-En-11588	그리고 공화당 원, 즉 그레이엄, 플레이크, 짐작할 등 내 분노에서 안전하지 않기 때문에 내가 당신을 보았다 Hillary Hiney-Kissing 광고	분노	0 : 분노는 추정 할 수없는
2017-En-11282	@ 개 개 \ n \ n 광견병 강아지처럼 내가 옷장의 뒷면을 이끌어 베쿠웨루를 찾았습니다. 프랑스 팬시 & amp; 미니 버터 부르크 #Winner!	분노	0 : 분노는 추정 할 수없는
2017-ja-11507	@ MisterAK47 그것은 매우 인종 차별 주의자들이 인종 차별 주의자이기보다 나쁜 것을 말하고있다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10849	파로 업. 최종 마무리. 무조건. # success	분노	0 : 분노는 추정 할 수없는
2017-En-10640	@ 저스틴 로우 10 새로운 매든 17여? 하하	분노	0 : 분노는 추정 할 수없는
2017-ja-10946	@moocowward @mrsajhargreaves @ Melly77 @GaryBarlow 만약 그가 25k 짹짹 후 내 Mum'a에 올 수 없다면 어떻게해야하나요? #bitter # soreloser	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10940	그런 작은 것은 나를 매우 화나게 x	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-11456	다른 일 티파 ​​.. 하루 더!	분노	0 : 분노는 추정 할 수없는
2017-En-10869	내 학장에 정말 많은 ppl을 저축하고, 나는 스냅하지 않습니다. 그것은 내게 많은 것을 가져옵니다.	분노	0 : 분노는 추정 할 수없는
2017-En-10514	소프트볼이 매우 심한 것을 알고있는 사람은 누구입니까? 지미 팰런 (Jimmy Fallon)은 그의 소프트볼 & 리듬에 대한 열광하고 있습니다. 도널드 트럼프 인터뷰	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10448	여자는 여자를 좋아하지 않습니다. 우리는 아주 매력적입니다. 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-JA-21354	당신의 당이 거짓말 부패한 사람을 지명 한 당신의 분노는 어디에 있습니까? 그리고 테러 지원 국가에서 기부를 받았습니다. 분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11609	나는 분노의 문제이지만, 내 마음은 큰 AF를 맹세 ...	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10537	75 '장난은 다시 포스트에 대한 깊은 십자가에 도달하고 아로아의 방위를 명확하게 보여주고있다. 여기에서 셀틱은 집요하다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11088	이것은 농담입니다 @SomersetCCC # fuming	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-10127	사실은이 과정에서 저를 포함하지 않고, 사람들이 나를 위해 계획을 때 그것을 사랑합니다. # rage	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11061	#listen에 빠르고 # speak에 늦게 slow에.	분노	0 : 분노는 추정 할 수없는
2017-En-10563	@Sargon_of_Akkad 그것은 랩 앨범을 점화 같은 일이 될 것입니다. 그들은 먼저 그것을 사야 할 것이다, 그것은 안된다. 그들은 그것을 제거해야한다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10184	@Daniel_Sankey @ hayleyp79 Haha .... 사실, 강아지 후에, 나는 모두가 GWS을 위해 장미 냉각하고 있습니다! # bitter	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-JA-10378	@OstinOng YUUUHH🙄😭 플러스 임상 ep과 prevmed ugghhhhhaha # bitter	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10689	내 벌 침은 가려운입니다	분노	0 : 분노는 추정 할 수없는
2017-En-10631	내 인생의 모든 굶주린 사람들에게 감사합니다! 굶어 배우고 변화하고 성장하고 도움 등 - 아무도 그것이 좋은 것을 확인하지!	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
