ID	Tweet	치수에 영향을 미침	강도 클래스
2017-Ko-20968	@ RockSolidShow @Pat_Francis # 만약 내가 섹시하다고 생각하면 자지를 개복해라!	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-21816	@Its_just_Huong 내가 너를 이길거야 !!! 이드는 항상 그리핀도어라고 생각했습니다. 그래서 이것은 완전히 새로운 세상입니다. #excited #afraid	두려움	1 : 낮은 양의 공포가 유추 될 수 있음
2017-ko-21532	"당신을 괴롭히는 것에 대해 걱정하지 마십시오."- Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious	두려움	1 : 낮은 양의 공포가 유추 될 수 있음
2017-ko-20740	@ carlybigelow13 먼저 방을 가져 와서 나를 이길 싶어	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-20022	@ RogueCoder250 우리는 많은 문제에 빠졌습니다 !! 나는 Rev가 우리 프로젝트의 재미있는면을 보지 않을 것이라고 생각한다. #nervous	두려움	3 : 많은 양의 공포가 유추 될 수있다.
2017-ko-20682	@MidgetTamer @RAIDERS @ 52Mack_ 그를 깡패가되게하십시오. 혼자서 그 방에 앉혀서 하루 종일 데 보를 보게하십시오.	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-20488	3 년 만에 나이로비의 웨스트 게이트 공격 기념일을 기념합니다. 우리 가족을 잃은 모든 사람들에게 내 마음을 전하기. friends🕯	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-20937	@WunderlistHelp 당신들은 아직 다운 됐나요? 언제 우리가 갈 수 있습니까?	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-21760	@ City_tv는 모든 사람의 점심을 망치는 계급의 큰 깡패와 비슷하지만 점심 식사를하는 대신 가족 불화를 빼앗아갔습니다.	두려움	1 : 낮은 양의 공포가 유추 될 수 있음
2017-ko-20880	@ Jchawes 좋아하는 # 호러 영화는 무엇입니까? #ghosthunters	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-21567	걱정할만한 성취감이 있는지	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-22135	@CharlieEblacker는 부끄러워하는 것을 싫어합니다	두려움	1 : 낮은 양의 공포가 유추 될 수 있음
2017-ko-21523	#smackdev #ptp # 시작 오 예!	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-21433	@ Varneyco @SheriffClarke 동의합니다. 폭동 자들은 재산을 파괴하고 시민들을 해치며 생명을 위협합니다. 폭동에 대해 무관 용 정책이 필요합니다.	두려움	2 : 적당한 양의 공포가 유추 될 수있다.
2017-Ko-20824	@DeionSandersJr @DeionSanders 그렇게 나쁘다 ... 가격을 떨어 뜨리거나 챔피언 쉽을 잃은 후 팀 기어처럼 난민 캠프로 보내십시오.	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-22248	나는 지금 흔들리고있다.	두려움	3 : 많은 양의 공포가 유추 될 수있다.
2017-Ko-21941	그리고 그들은 경찰들의 총격 사건을 꽤 잘 감추었습니다. 그들은 당신을 괴롭힐 기회를 놓치고 싶지 않습니다.	두려움	2 : 적당한 양의 공포가 유추 될 수있다.
2017-ko-20976	"설탕이 적고 과일이 많습니다. \ n 소다가 적고 물이 더 적습니다. \ n 걱정은 적어지고 잠을 잘 수 있습니다. \ n 더 많은 단어를 사용하고 더 많은 행동을 취하십시오."	 두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-21967	@ Jpennifan 오, 이혼에 대해 유감스럽게 생각하지만 괜찮은 아내가 될 것입니다 (참조 없음)	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-20544	그 할머니는 cray cray입니다. #scared #Bella Is so Cute #Empire	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-21731	신부 연설의 아버지 편집. 3 분 안에 그녀는 그에게 그것을 감싸라고 말한다. 그는 12 분 더 계속됩니다.	두려움	0 : 두려움을 유추 할 수 없음
2017-KO-20112	@YahooCare 데이터가 2014 년에 도난 당했으며 지금은 Google에 알려주세요.	두려움	2 : 적당한 양의 공포가 유추 될 수있다.
2017-KO-21217	@ 라이언 경외감 이여, 나는 정말 걱정했다.	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-20136	이것은 그들의 모든 것 중에서 가장 무서운 미국의 공포 이야기 다. .. 나는 주간에 봐야 할 것이다.	두려움	2 : 적당한 양의 공포가 유추 될 수있다.
2017-Ko-21182	@ BuzzFeed 그래서이 집들은 내 instestines에 들어가서 내 똥을 두려워하고 내 바지를 똥거야?	두려움	2 : 적당한 양의 공포가 유추 될 수있다.
2017-ko-20547	심야 # 생각. 느낌.	두려움	0 : 두려움을 유추 할 수 없음
2017-En-21320	테러 위협 수준을 정말로 올려야합니다.	두려움	3 : 많은 양의 공포가 유추 될 수있다.
2017-ko-20718	당신은 문제가있다? 예! 그것에 대해 뭔가를 할 수 있습니까? 아니! 왜	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-20746	@ davidpreece12 @FitbaHacks 위대한 수비수, 끔찍한 포지셔닝. 러셀이 90 분 동안 그를 외치지 않고 어디에 있어야하는지 몰랐다.	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-20013	#panic 새로운 약물 치료에 대한 공포로 인한 공황 발작	두려움	3 : 많은 양의 공포가 유추 될 수있다.
2017-ko-21205	@stephenfhayes 겨자 가스 = 테러주의가 아닌 적대적인 근무 환경; # 군사가 아닌 #OSHA를 호출하십시오	두려움	2 : 적당한 양의 공포가 유추 될 수있다.
2017-Ko-20619	오늘 직장에서 집으로 돌아가는 감탄사가 있습니다. #dailyfeels	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-21953	♪ OLD FISH	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-20812	로조는 끔찍한 수비수입니다.	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-20099	과거에 당신과 소송을 나누기 위해 움츠려 들지 않은 사람이 가짜 포옹을 강요당했습니다. #awful 😖👺🙅	두려움	2 : 적당한 양의 공포가 유추 될 수있다.
2017-Ko-21148	이것은 #horrible입니다 : Lewis Dunk는 네오 지오 (Neo-Geo)와 멕시코에서 휴가를 보내기 시작했습니다.	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-20548	@hotpatooties는 quickie 이혼과 비슷합니다. #awful	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-21773	#MaryBerry가없는 Noooooo @ GBBOUK는 #awful #endofanera가 2b가 될 것이므로 #lost @ Channel4가 거기 #lameduck을 구입했습니다. #notallabouttemoney	두려움	1 : 낮은 양의 공포가 유추 될 수 있음
2017-Ko-21806	@SimplyMayaMarie @STILLStanding_B 😂😂😂 나는 모두 충격적이다.	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-20802	크로스 워드 퍼즐은 귀엽고 영양가있는 뿌리 스탁을 조심스럽게 고집하는 귀리 음식입니다.	두려움	0 : 두려움을 유추 할 수 없음
2017-ko-21829	@priorJoan @MizQue \ n 사실상 트럼프 지지자들의 전형입니다. \ n이 아이는 학교에서 학대를 배웠습니다. \ n 끔찍한	두려움	1 : 낮은 양의 공포가 유추 될 수 있음
2017-ko-21826	@CGasparino 그것을 포기 가스, 나는 U를 싫어하지 않는다, 나는 단지 우스운 것을 존중하지 않는다. #bully	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-21671	@ 60DaysInJail Dafron은 지구상에서 가장 큰 패자가되었습니다! 일반적인 #bully #lifer	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-21073	@ CurtisJobling 네, 정말로! 우리는 학생들의 대중이 당신을 만나게되어 매우 기뻐할 것입니다! 우리는 이것을 분류해야합니다! #haunt	두려움	0 : 두려움을 유추 할 수 없음
2017-Ko-21902	Poundstretcher와 다른 사람이 나쁜 경험을 했습니까? #nightmare firm	두려움	2 : 적당한 양의 공포가 유추 될 수있다.
2017-ko-20023	메신저 울고있는 캐서린은 나의 불안한 공격 중에 나에게 말하면서 희미 해지는 유일한 사람입니다.	두려움	3 : 많은 양의 공포가 유추 될 수있다.
2017-Ko-21785	@HMiglino @ CParks777 @Coco_Wms @ bodyfit67 @TruthEqualsFact @politicususa 내 인생의 선거에 대해 더 많이 염려하지 않아 본 적이있다! ️	두려움	3 : 많은 양의 공포가 유추 될 수있다.
2017-ko-20377	나는 정말로 공포의 밤에 가고 싶다. 그러나 나는 정말로 😁 	하지 않는다. 두려움	1 : 낮은 양의 공포가 유추 될 수 있음
2017-Ko-20594	#GADOT는 Williams 및 Ivan Allen Jr Blvd에서 좌회전 신호를 보내주십시오. 이것은 절대적으로 우습다. #ATL 트래픽 #horrible	두려움	0 : 두려움을 유추 할 수 없음
