ID	Tweet	치수에 영향을 미침	강도 클래스
2017-Ko-10264	@ xandraaa5 @ amayaallyn6 조용한 해시 태그가 멋지네요. #	분노	2 : 중간 정도의 분노가 유추 될 수 있음
2017-Ko-10072	그것은 나에게 너무 화를 낼 예수를 만든다. hajime을 좋아하는 사람은 멍청이 lmao와 함께 학대를 멈 춥니 다.	분노	3 : 높은 분노가 유추 될 수 있음
2017-Ko-11383	가짜 분노한 Lol Adam the Bull ...	분노	1 : 낮은 분노가 유추 될 수 있음
2017-Ko-11102	ATL 스트립 클럽을 떠날 때 @THATSSHAWTYLO는 빠르며 격렬한 스타일의 자동차 충돌 사고로 오늘 아침 일찍 돌아가 셨습니다. 그것은 거친 물건입니다	분노	0 : 분노는 유추 할 수 없다.
2017-Ko-11506	@ Kristiann1125 LOL 와우 내가 정말 말할거야?! 하하, 크리스나 아니? 너는 더이상 나를 괴롭히지 않는다.	분노	1 : 낮은 분노가 유추 될 수 있음
2017-Ko-10779	나는 🍱 寿司 날짜 @AnzalduaG 🍝 올리브 감식력 날짜 @ lexiereid369와 👊🏼Rockys 날짜	분노	0 : 분노는 유추 할 수 없다.
2017-Ko-11588	공화당 원, 그래함, 그레함, 찌질, 사쎄 등은 내 진노로부터 안전하지 않으므로 힐러리 하이네 키스 광고를 보았습니다.	분노	0 : 분노는 유추 할 수 없다.
2017-ko-11282	@ 드레 이프 \ n \ n 광견병의 개처럼 나는 bakewell를 찾고있는 나의 찬장의 뒤를 내 렸습니다 .French fancie & amp; 미니 바텐더 부르크 #Winner!	분노	0 : 분노는 유추 할 수 없다.
2017-ko-11507	@ MisterAK47 그것은 인종 차별 주의자가 항상 인종 차별 주의자가되는 것보다 더 나쁜 모욕에 빠져 있다고 말하는 것입니다.	분노	2 : 중간 정도의 분노가 유추 될 수 있음
2017-Ko-10849	후속 조치. 따라와. # 무례하게 행동하십시오. # 성공	분노	0 : 분노는 유추 할 수 없다.
2017-ko-10640	@ JustinRow10 새로운 madden 17 임마? 하하	분노	0 : 분노는 유추 할 수 없다.
2017-Ko-10946	@moocowward @mrsajhargreaves @ Melly77 @GaryBarlow 그가 25k 짹짹 후에 내 Mum'a 60th에 올 수 없다면, 왜해야합니까? #bitter #soreloser	분노	2 : 중간 정도의 분노가 유추 될 수 있음
2017-Ko-10940	LOL과 같은 작은 것들이 나를 화나게합니다. x	분노	2 : 중간 정도의 분노가 유추 될 수 있음
2017-Ko-11456	하루 더 티파니 .. 하루 만 더!	분노	0 : 분노는 유추 할 수 없다.
2017-Ko-10869	내 학장님이 PPC를 많이 절약 해 주셨습니다. Bc 나는 nomore & amp; 너무 많이 걸립니다.	분노	0 : 분노는 유추 할 수 없다.
2017-Ko-10514	소프트볼이 그렇게 나빠질 수 있다는 것을 누가 알았습니까? 지미 팰런 (Jimmy Fallon)은 그의 소프트볼 & rdquo를 위해 많은 열기를 타고 왔습니다. 도널드 트럼프 인터뷰	분노	1 : 낮은 분노가 유추 될 수 있음
2017-Ko-10448	여자들은 여자들을 좋아하지 않습니다. 왜냐하면 우리는 여자들이 너무 좋아 보이기 위해 그들을 원망하기 때문에 / 우리는 여전히 그렇게 보이기를 바랍니다.	분노	2 : 중간 정도의 분노가 유추 될 수 있음
2017-Ko-21354	당신의 파티가 거짓말하고 부패한 사람을 지명 한 것에 대한 당신의 분노는 어디에 있습니까? 테러 지원국들로부터 기부금을 받았습니다.	분노	3 : 높은 분노가 유추 될 수 있음
2017-ko-11609	분노를 느낀다 고 맹세하지만 내 마음은 커다란 AF ...	분노	2 : 중간 정도의 분노가 유추 될 수 있음
2017-Ko-10537	75 '티어 니가 포스트 크로스에 깊은 크로스를 올렸고 알로아 수비진을 막아 냈습니다. 셀트리즘은 여기에 가차 없습니다.	분노	1 : 낮은 분노가 유추 될 수 있음
2017-Ko-11088	이 농담은 @SomersetCCC #fuming	분노	3 : 높은 분노가 유추 될 수 있음
2017-ko-10127	나는 사람들이 나를 위해 계획을 세울 때 그것을 정말 좋아한다.이 과정에서 실제로 나를 포함하지 않고 #rage	분노	3 : 높은 분노가 유추 될 수 있음
2017-Ko-11061	#listen을 빨리하고 #speak로 천천히하고 천천히하십시오.	분노	0 : 분노는 유추 할 수 없다.
2017-Ko-10563	@Sargon_of_Akkad 그것은 랩 앨범을 레코딩하는 것과 같을 것이다. 그들은 먼저 그것을 사야 할 것입니다.하지만 어리석은 사람들은 그것을 없애야합니다.	분노	1 : 낮은 분노가 유추 될 수 있음
2017-Ko-10184	@Daniel_Sankey @ hayleyp79 하하 .... 사실, 애들을 쫓아 낸 후 나는 누구나 그러나 GWS를 위해 막사를 짓고있어! #bitter	분노	2 : 중간 정도의 분노가 유추 될 수 있음
2017-ko-10378	@OstinOng 유유히 🙄😭 플러스 임상 ep와 prevmed ugghhh 하하하 # bitter	분노	2 : 중간 정도의 분노가 유추 될 수 있음
2017-ko-10689	내 말벌은 가렵다.	분노	0 : 분노는 유추 할 수 없다.
2017-ko-10631	내 인생의 모든 배고픈 사람들에게 감사드립니다! 배고픈 배고파, 변화, 성장, 도움 등 - 아무도 잘 모르겠다!	분노	1 : 낮은 분노가 유추 될 수 있음
