ID＆nbsp; Tweet＆nbsp; ディメンションに影響する＆nbsp; 強度クラス
2017-En-30793＆nbsp; @david_garrettかなり悲しい.....米国の日付はない、DGコンサートに参加することを喜んで期待していない（2014年以来）。あなたは忙しくしています。＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-En-30070＆nbsp; #GoPackGoまで2日間、#GoGipeGoまで23日間.....私はとても興奮しています！＆nbsp; 喜び＆nbsp; 3：高い喜びが推測できる
2017-ja-30692＆nbsp; ポジティブな＃心理学研究は、＃オプティミズムの上位10％にランクインした営業員が、88％＆gt; 悲観主義のためのトップ10％の人よりも売上高が高い。＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-En-31323＆nbsp; 鳥が鳴り響くと牛がうぬぼれるので、すべてがうまくいくように自然の音を聞く必要があります。＆nbsp; 喜び＆nbsp; 1：低い喜びが推測できる
2017-JA-31553＆nbsp; 笑い声でうなずく、「まったくのベッツァ！」#bakeoff #GBBO＆nbsp; 喜び＆nbsp; 3：高い喜びが推測できる
2017-En-31296＆nbsp; @StephaliciousD午後の喜び＆nbsp; 喜び＆nbsp; 2：中程度の喜びが推測できる
2017-En-30419＆nbsp; @UKLittleKitchen心のこもったルートグラッドグラタンを取り除く。＆nbsp;で秋のキックのように楽しい快適な食べ物 喜び＆nbsp; 1：低い喜びが推測できる
2017-JA-31315＆nbsp; 私が覚えているように、Reginald Denny（#Charlotteのような）のような夜に、私は自分自身に思います。銃ロビーは喜んでいるはずです。＆nbsp; 喜び＆nbsp; 1：低い喜びが推測できる
2017-ja-30871＆nbsp; @ hesham786それは精神です＃オプティマイズ＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-JA-31529＆nbsp; @simmy_hanley @Schriseも＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-JA-31555＆nbsp; @ scottlocker220それをありがとう、通知は私を応援する時間のニックに来た - 再ツイートする必要があります＆nbsp; 喜び＆nbsp; 3：高い喜びが推測できる
2017-En-30631＆nbsp; @blackeyed_susie彼らは去っていません、そして、私はそれらが傷つくのを見たくありません。変化する心/心は本当に私たちの唯一の選択肢です、いいえ？#optimism＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-En-31599＆nbsp; あなたが泳ぐことを学んだときには、🤔を勉強しています。しかし、あなたは仕事を続けているので、あなたはより密度が高く、浮遊していません。しかし、泳ぎは怖いですが、泳ぐこともできません。＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-En-31258＆nbsp; すべての夜。それを忘れないでください#RobinHoodHourTONIGHT🏹\ n \ n＃bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour＆nbsp; 喜び＆nbsp; 1：低い喜びが推測できる
2017-En-31188＆nbsp; リビジョンの終わり近くに...私が新しい方向に愛しているこの物語を撮ることは、私のために爽快であった。#endlesspossibilities #amwriting＆nbsp; 喜び＆nbsp; 2：中程度の喜びが推測できる
2017-ja-30706＆nbsp; ミラナは私が喜んで歌っていた時に私が黙るように言った。＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-ja-31108＆nbsp; #happiness #recipe：オープンマインド、#laughter、kind #heart＆amp; amp; ＆nbsp; 喜び＆nbsp; 2：中程度の喜びが推測できる
2017-JA-31380＆nbsp; 🔥💁🏼-あなたと一緒に授業をしているのが点灯！あなたのそのような偉大な人と応援に良い！＆nbsp; 喜び＆nbsp; 3：高い喜びが推測できる
2017-ja-30353＆nbsp; この素晴らしいlive.lyのブロードキャストを@jaredhorgan＃musically＆nbsp; 喜び＆nbsp; 1：低い喜びが推測できる
2017-JA-30063＆nbsp; ああ、一度私はそれが働くようになった、多くの喜びがあった！LOLの感謝は今それを行うことができます。＆nbsp; 喜び＆nbsp; 3：高い喜びが推測できる
2017-En-31187＆nbsp; カムシャフト爽快企業に関する機能：CQHshJSI＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-En-30580＆nbsp; @AllredMD @KerryCallen @thismanthispete Kirby's Black Pantherは、クールなアニメーションパネルに入っています。＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-JA-30227＆nbsp; ちょうど2014年の半分のボトルを沸騰させた@Bellawines #sparkling #gamaynoir Westbankから。夕方、皆さん！\ n＃bcwinechat＆nbsp; 喜び＆nbsp; 2：中程度の喜びが推測できる
2017-En-30095＆nbsp; @Myahrissavietta私は今、嬉しいです。＆nbsp; 喜び＆nbsp; 3：高い喜びが推測できる
2017-JA-30723＆nbsp; 実際に私たちは死ぬはずでしたが、私の寄付は私たちの命を救ったのでしょうか？＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-En-31277＆nbsp; 私は欲しいと思ってダンス!!!! （しかし、誰もが寝ている）これは吸う！誰もが目を覚ます!! 😯＃ハイパー＃レットダンス＃ダートライトング〜ライトーン＆nbsp; 喜び＆nbsp; 3：高い喜びが推測できる
2017-ja-30752＆nbsp; @CazuaL_WeaR @ScottInSCは私に銃のような形の本のように見える#itsagunalright＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-En-31207＆nbsp; @alicereidy自分自身の心のこもったイタリア人のほうがもっと＆nbsp; 喜び＆nbsp; 2：中程度の喜びが推測できる
2017-JA-30965＆nbsp; 歌の終わりの小さなスニッフルが毎回私を得ます。＆nbsp; 喜び＆nbsp; 0：喜びは推測できない
2017-En-31403＆nbsp; それは最も快適で＆amp; 私にとって最善のことをすること、そして私が守っている熱心な会社をすることに喜びを感じます。＆nbsp; 喜び＆nbsp; 1：低い喜びが推測できる
2017-En-31228＆nbsp; @LBC_Charlotteはちょうど偉大な壁であなたを見ました＃陽気な😆＆nbsp; 喜び＆nbsp; 3：高い喜びが推測できる
