ID	Tweet	치수에 영향을 미침	강도 클래스
2017-ko-30793	@david_garrett 아주 슬프다 ..... 미국 날짜가 없으며, DG 콘서트에 참석하기를 기대하지 않는다 (2014 년 이후). 바쁘게 지내고 있습니다.	기쁨	0 : 아무 기쁨도 추측 할 수 없다.
2017-ko-30070	#GoPackGo까지 2 일, #GoGipeGo까지 23 일 ..... 나는 너무 흥분해!	기쁨	3 : 높은 기쁨을 유추 할 수 있음
2017-ko-30692	긍정적 인 # 심리학 연구는 #optimism에 대해 상위 10 %에서 점수를 매긴 영업 사원이 88 % & gt; 비관적 인 경우 상위 10 %보다 높습니다.	기쁨	0 : 아무 기쁨도 추측 할 수 없다.
2017-ko-31323	새들이 울부 짖고 암소가 우렁 거리면서 모든 것이 건강하다는 것을 확인하기 위해 자연의 소리를들을 필요가 있습니다.	기쁨	1 : 낮은 기쁨을 유추 할 수 있음
2017-ko-31553	"잘 했어!"라는 웃음 소리로 울부 짖었습니다. #bakeoff # GBBO	기쁨	3 : 높은 기쁨을 유추 할 수 있음
2017-ko-31296	@StephaliciousD 오후 기쁨	기쁨	2 : 적당량의 기쁨을 유추 할 수 있음
2017-Ko-30419	@UKLittleKitchen 튼튼한 뿌리 채소 그라탕을 잊어 버리십시오. 가을의 즐거움을	기쁨	1 : 낮은 기쁨을 유추 할 수 있음
2017-ko-31315	내가 기억하고 Reginald Denny를 밤과 같이 많이 (#Charlotte처럼) 생각하면 총총 로비는 기뻐해야한다.	기쁨	1 : 낮은 기쁨을 유추 할 수 있음
2017-ko-30871	@ hesham786 그 정신이야 #optimism	기쁨	0 : 아무 기쁨도 추측 할 수 없다.
2017-ko-31529	@simmy_hanley @Schrise도	기쁨	0 : 아무 기쁨도 추측 할 수 없다.
2017-ko-31555	@ scottlocker220 감사합니다. 알림이 나에게 응원 할 시간의 닉으로 나타났습니다. 다시 트윗해야합니다	기쁨	3 : 높은 기쁨을 유추 할 수 있음
2017-ko-30631	@blackeyed_susie 그들은 떠날 수 없으며, 나는 상처를 받고 싶지 않습니다. 변화하는 마음 / 마음은 정말로 유일한 선택입니다. #optimism	기쁨	0 : 아무 기쁨도 추측 할 수 없다.
2017-ko-31599	u havent 수영을 배웠을 때 🤔하지만 운동을 계속하므로 밀도가 높아지고 부력이 덜 들지만 수영은 무섭지 만 수영은 불가능합니다 😞	기쁨	0 : 아무 기쁨도 추측 할 수 없다.
