ID	Tweet	치수에 영향을 미침	강도 클래스
2017-En-40023	이게 가장 우울한 똥이야	슬픔	3 : 많은 양의 슬픔을 유추 할 수 있습니다.
2017-ko-40983	내 90 년대 어린 시절의 마지막 흔적이 Tracy Chapman의 '빠른 차'의 집 커버를 듣는 떼거리에서 날아 섰습니다.	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-20751	@ManUnitedWriter 그는 두려운 상반기를 보았습니다. 말할 것도없이, 래쉬 포드는 볼을 통해 몇 마디를 끝낼 것입니다. # 스페이스	슬픔	1 : 적은 양의 슬픔을 유추 할 수 있습니다.
2017-ko-41232	정말 슬프고 오늘 기분이 나빠질 것입니다.	슬픔	3 : 많은 양의 슬픔을 유추 할 수 있습니다.
2017-ko-40797	와우는 너를 만나기 전에 나를 보았다. 그리고 그것은 내 인생에서 가장 우울한 영화 중 하나였습니다.	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
2017-ko-40224	너무 젊어서 죽을 정도로 시원하고, 너무 젊어서 술에 취하지 말라 .. #tunechi	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
2017-ko-41500	Happy Birthday 로이 뷰캐넌, 1939 년에 태어났습니다. #roybuchanan # 기타 #blues #happybrithday	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-41478	이미 이겨내고있는 이비자 블루스는 와우	슬픔	3 : 많은 양의 슬픔을 유추 할 수 있습니다.
2017-ko-40483	시간의 인식은 잃어버린 시간에 대한 인식입니다. #awareness #time	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-40529	오늘 에피소드 없음! 편집하는 동안 정전이 발생했습니다! 내일은 다시 빌드 할 예정입니다. #podcast #lost #editing #fail #tomorrow	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-40540	오늘 밤 @RossKemp 위대한 프로그램 #upremetorld #extremeworld	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-40988	대부분의 날, 나는 내 마음이 뛰는 것을 모른다. #depression	슬픔	3 : 많은 양의 슬픔을 유추 할 수 있습니다.
2017-ko-40405	맨손으로 온라인 비디오를 시청하지만 누구나 재활 서비스를받을 수 있습니까? 누군가가 실제로 그들의 고통에 대한 도움을 얻는가? 아니면 우리는 트위터 비디오를 얻을거야.	슬픔	1 : 적은 양의 슬픔을 유추 할 수 있습니다.
2017-ko-40960	캠프가 보얀 (Bojan)과 무니 (Muni)를 통해 순전히 행복하지 않다는 것을 알 수 있습니다. \ n \ n 평범한 녀석들이지만 아직 완전히 낙담했습니다. 뭔가 이상하지 않습니다.	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
2017-ko-40671	빌 클린턴 (Bill Clinton) : '선을 행하면 피곤하지 마라.' @ClintonGlobal # CGI2016	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-Ko-40445	@ BBCSport 너무 영국에 대한 둔한.	슬픔	1 : 적은 양의 슬픔을 유추 할 수 있습니다.
2017-ko-40633	#sober life	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-40168	수개월 만에 내가 가장 좋아하는 youtubers를 보지 못했으며 솔직히 우울증이 훨씬 심해졌습니다.	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
2017-ko-40970	@Mets @ JdeGrom19 지금 우울 해요	슬픔	3 : 많은 양의 슬픔을 유추 할 수 있습니다.
2017-Ko-20568	슬픔이 당신을 당신의 침대에서 부러 뜨릴 때, 나는 당신을 절망의 깊음 속에서 껴안을 것이며, 그것은 모두 사랑의 이름으로되어 있습니다.	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
2017-ko-40913	John과 그의 '마술 상자'#lost	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-40682	그것은 나를 감동시키지 않았지만 나를 우울하게하지는 못했습니다. '	 슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-40703	@petercoffin 그래서 안전한 블루스는 괜찮습니다. 빨간색도 괜찮습니까? 분명히, 전장 국가는 그렇지 않을 것입니다.	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-41383	그래서 6	슬픔	3 : 많은 양의 슬픔을 유추 할 수 있습니다.
2017-En-40083	@KingJames @chrisbosh \ n 좋은 마음으로 직장을 잃었습니다. 책임감이 있습니다. 2 명의 가족 내 정보가 프로필 일지라도, 다시 짹 짹짹칠 수 없다면	슬픔	3 : 많은 양의 슬픔을 유추 할 수 있습니다.
2017-ko-40453	싸구려 brodcast	슬픔	1 : 적은 양의 슬픔을 유추 할 수 있습니다.
2017-ko-40614	나는 너를보고 싶다. 너는 싫은 내색을하고 싶지 않다.	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-ko-40190	Liam이 너무 멀리 떨어져서 나를 슬퍼하게합니다.	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
2017-Ko-41087	공항에있는 것은 너무 우울합니다 .. 휴가를 떠나고있는 모든 사랑하는 커플과 귀여운 사람들을보고, 너무 귀여워. 11 월 ✈️을 서둘러	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
2017-ko-40245	@NewYorker @donlemon 트럼프 회장단 - 미국과 세계의 어둠의 시대. 그는 우리를 전쟁에 데려다 줄 것입니다. 짧은 & amp; 장기간의 통증	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
2017-ko-40169	@midnight #EndTrumpweek 제발, 저를 # 압니까.	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
2017-Ko-41337	SRV의 'Voodoo Child'는 Jimi보다 약 76 배 더 좋습니다. #guitar #music #blues	슬픔	0 : 어떤 슬픔도 추론 할 수 없다.
2017-Ko-41139	내 블레이크가 블레이크를 우울	슬픔	2 : 적당량의 슬픔을 유추 할 수 있음
