ID	Tweet	차원에 영향을	강도 클래스
2017-En-30793	@david_garrett 꽤 슬픈 ..... 미국의 날짜는없는 DG 콘서트에 참여하는 것을 기꺼이 기대하지 않은 (2014 년부터). 당신은 바쁘게 있습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-30070	#GoPackGo까지 이틀간 # GoGipeGo까지 23 일간 ..... 나는 매우 기쁘게 생각합니다!	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-ja-30692	긍정적 인 # 심리학 연구는 # 오뿌티미즈무의 상위 10 %에 랭크 된 영업 사원이 88 % & gt; 비관주의에 대한 상위 10 %의 사람들보다 매출이 높다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31323	새가 울려 퍼지자 소 잘난 척 때문에 모든 것이 잘 되길 자연의 소리를들을 필요가 있습니다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-31553	웃음으로 고개를 끄덕 "전혀 벳차!"# bakeoff # GBBO	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31296	@StephaliciousD 오후 기쁨	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-30419	@UKLittleKitchen 왕성한 루트 다행 그라탕을 제거합니다.	가을의 킥 등 즐거운 편안한 음식 기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-31315	내가 기억하는대로 Reginald Denny (#Charlotte 같은) 같은 밤, 나는 나 자신에게 생각합니다. 총 로비는 기꺼이 것입니다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-ja-30871	@ hesham786 그것은 정신입니다 # 최적화 때문에	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-31529	@simmy_hanley @Schrise도	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-31555	@ scottlocker220 그것을 감사 통지 나를 응원하는 시간의 닉 온 - 다시 트윗해야합니다	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-30631	@blackeyed_susie 그들은 떠나하지 않습니다 그리고 나는 그들이 상처를보고 싶지 않습니다. 변화하는 마음 / 마음은 정말 우리의 유일한 선택입니다, 아니? # optimism	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31599	당신이 수영을 배운 때 🤔을 공부하고 있습니다. 하지만 당신은 일을 계속하고 있기 때문에, 당신은 더 밀도가 높고 부유하지 않습니다. 그러나 수영은 무섭지 만, 수영을 할 수 없습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31258	모든 밤. 그것을 잊지 마세요 # RobinHoodHourTONIGHT🏹 \ n \ n # bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour # NottsHour	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-31188	수정 끝 부분에 ... 나가 새로운 방향에 사랑이 이야기를 찍는 것은 나를 위해 느낌이었다. #endlesspossibilities # amwriting	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-ja-30706	미라나 내가 기꺼이 노래하고 있던 때에 내가 침묵 같이 말했다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-31108	#happiness #recipe : 오픈 마인드 # laughter, kind # heart & amp; amp;	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-JA-31380	🔥💁🏼- 당신과 함께 수업을하고있는이 피었습니다! 당신의 그런 훌륭한 사람들과 응원에 좋은!	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-ja-30353 & nbsp;이 좋은 live.ly 방송을 @ jaredhorgan # musically	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-30063	아, 일단 내가 일하게 된 많은 기쁨이 있었다! LOL 감사는 지금 그것을 할 수 있습니다.	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31187	캠축 상쾌 기업 관련 기능 : CQHshJSI	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-30580	@AllredMD @KerryCallen @thismanthispete Kirby 's Black Panther 멋진 애니메이션 패널에 들어 있습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-30227	다만 2014 년의 절반 병을 끓는 @Bellawines #sparkling #gamaynoir Westbank에서. 저녁 여러분! \ n # bcwinechat	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-30095	@Myahrissavietta 지금은 기쁩니다.	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-JA-30723	실제로 우리는 죽을했지만, 내 기부는 우리의 생명을 구한 것입니까?	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31277	내가 갖고 싶은 댄스 !!!! (하지만 모두가 자고있는) 이것은 빤다! 모두가 일어나 !! 😯 # 하이퍼 # 렛 댄스 # 먼지 라이트 링 ~ 라이톤	기쁨	3 : 높은 기쁨을 짐작할 수있다
