ID	Tweet	분노	기대	혐오스러운	두려움	기쁨	사랑	낙관론	비관론	슬픔	놀라움	믿음
2017-Ko-21441	"걱정은 결코 가질 수없는 문제에 대한 계약금입니다." 조이스 마이어. # 모빌리티 # 선불 # 걱정 #	0	1	0	0	0	0	1	0	0	0	1
2017-ko-31535	어떤 결정을 내리 든간에 그것이 당신을 행복하게 만듭니다.	0	0	0	0	1	1	1	0	0	0	0
2017-Ko-21068	@Max_Kellerman 그것은 또한 NFL 코칭의 대부분이 부적절한 데 도움이됩니다. Bill O'Brien의 연극 중 일부는 와우! #GOPATS	1	0	1	0	1	0	1	0	0	0	0
2017-ko-31436	도전을 받아들이면 문자 그대로 승리의 기분을 느낄 수 있습니다. ' - George S. Patton 🐶	0	0	0	0	1	0	1	0	0	0	0
2017-Ko-22195	내 룸메이트 : 자동 고침이 있기 때문에 철자를 할 수 없다. #terrible # firstworldprobs	1	0	1	0	0	0	0	0	0	0	0
2017-En-22190	아니,하지만 너무 귀엽다. Atsu는 전에 사진에 대해 부끄러워했지만 체리는 그녀를 도왔습니다.	0	0	0	0	1	0	0	0	0	0	0
2017-ko-20221	인간이 임박한 운명을 인식하는 감각을 가지고 있다고 생각합니까?	0	1	0	0	0	0	0	1	0	0	0
2017-En-22180	손질 할 수없는 빌어 먹을 놈이 그 사람 아닌가요? 두려운 다시 지독한, depay 오늘 괜찮은 (ish) 보였다	1	0	1	0	0	0	0	0	0	0	0
2017-Ko-41344	좋아하는 형광펜 위의 팬을 칠 때 꽤 우울합니다	0	0	1	0	0	0	0	0	1	0	0
2017-ko-20759	@BossUpJaee하지만 당신의 음부는 내가 들었던 것에서 약해 졌어. 네가 임신했다고 위협해야 해.	1	0	1	0	0	0	0	0	0	0	0
2017-ko-40158	그 해마다 흥분하고 희망찬 대학 졸업자에서 아프고 피곤한 비관 주의자로 전환합니다. #college	0	0	1	0	0	0	0	1	1	0	0
2017-Ko-21744	그리고 당신의 뒤에서 악마와 춤을 추기가 어렵습니다. \ n 그래서 그를 떨쳐 버리십시오.	0	0	0	0	0	0	0	0	0	0	0
2017-ko-31337	틸러와 미풍은 협업 앨범을해야합니다. 뛰어 다니고 노래하는 것이 번창합니다	0	0	0	0	1	1	0	0	0	0	0
2017-Ko-10902	단지 내 차를 치는 소녀에게의 S / O ... 그녀는 운이 좋았고 상처가 없었을뿐만 아니라 잠을 자지 못해서 Kait dep를 박탈했습니다.	1	0	0	0	0	0	0	0	1	0	0
2017-Ko-11274	@bt_uk 브로드밴드는 지금 가입하는 것을 후회하고 있습니다. #vanggin@gmail.com까지	1	0	1	0	0	0	0	0	0	0	0
2017-Ko-11097	당신은 항의의 정의를 찾아야합니다. 당신이하는 일은 파업이라고하는 항의가 아닙니다. #angry #stop	1	0	1	0	0	0	0	0	1	0	0
2017-Ko-11475	@BitchestheCat 그 teef 봐요! #growl	1	0	1	1	0	0	0	0	0	0	0
2017-Ko-10989	온라인 스타 트랙에는 업데이트가 있습니다.	1	0	1	0	1	0	0	0	1	0	0
2017-ko-10618	전투가 쓴 것이고, 승리가 더 달콤합니다 ...	0	0	0	0	1	0	1	0	0	0	0
2017-ko-40212	나는 멈출 수 없다. 나는 끝냈다 - 낙심했다. 운 좋게 아무도 화장실에 없다. 그래서 나는 마구간에 가서 바지가 마를 때까지 기다린다.	1	0	1	0	0	0	0	0	1	0	0
2017-Ko-21011	@NHLexpertpicks @ usahockey USA는 당황했습니다. 마지막으로 너희들이 게임에서이기는 시간은 언제 ..? #horrible # joke	1	0	1	0	0	0	0	0	0	0	0
2017-ko-20349	#NewYork : 여러 #Baloch & amp; 인도 활동가들은 @UN 본부 밖에서 Pak이 인도로 테러를 중단 할 것을 요구하는 시위를 개최합니다.	0	0	0	1	0	0	0	0	1	0	0
2017-ko-40483	시간의 인식은 잃어버린 시간에 대한 인식입니다. #awareness #time	0	0	0	0	1	1	1	0	0	0	0
2017-ko-30807	당신의 기쁨은 가장 최근의 유명 인사 유명 인사의 Normy dry humping으로 가득 찼습니다. 오늘은 세상이 잘못되었습니다.	1	0	1	0	0	0	0	0	0	0	0
2017-Ko-21400	@ zorefx 너희들은 내가 다음 비디오에서했던 것을 볼 것이다. 그러나 그 무서운	1	0	1	1	0	0	0	0	1	0	0
2017-Ko-11184	이 망할 놈. @ jRwild1 # 스토커.	1	0	1	0	0	0	0	0	0	0	0
2017-ko-30230	@ adamrodricks 나는 당신의 낙관을 좋아한다!	0	0	0	0	1	0	1	0	0	0	0
2017-Ko-11421	나의 고양이는 피의 운이 좋다 RSPCA는 지난 밤에 3am에 열리지 않았다! !! #fuming 😡🐱	1	0	1	0	1	0	0	0	0	0	0
